r Ｒ
rochet 法衣
rock 石頭
rock 洛克
rock 巖石
rocker 搖椅
rockery 假山
rocket 火箭
rocketeer 火箭操縱
rocketry 火箭研究
rocking 搖動
rocknroll 樂與怒
rockoon 氣球火箭
rockrose 岩薔薇
rockshaft 搖軸
rockslide 落石
rococo 洛可可
rod 細長的棒
rod 魚竿
rod 棒
rod 羅德
rodeo 馬場
roderick 羅德里克
rodney 羅德尼
roil 攪渾
roll 名
roll 滾
roll 簿
rollback 捲回
rollcall 點名
roller 滾輪
roller 壓路機
rollout 首次展示
rolls 羅斯萊思
rom 吉普賽
rom 唯讀記憶
romaine 萵苣
roman 羅馬
romance 羅曼史
romance 戀愛
romancing 浪曼追求
romanize 羅馬化
romaunt 傳奇故事
romeo 橡膠鞋
romp 奔跑戲耍
romp 遊玩喧鬧
romper 背心褲
rompers 背心
ron 羅恩
ronald 隆奈爾德
rondo 輪旋曲
roof 屋頂
roofer 屋主
roofing 屋頂蓋法
rook 騙子
rookery 群棲
room 余地
room 房間
room 室
room 屋子
roomette 臥車鋪
roomie 室友
roomily 寬敞地
roominess 廣闊
roost 窩巢
rootage 生根
rooter 挖土機
rootle 搜索挖掘
rope 繩
ropery 製繩廠
ropewalker 走鋼索者
ropeway 纜索道
roque 槌球
roquefort 羊乳乾酪
roquet 擊中
rorqual 溫鯨
rory 洛里
rosace 薔薇花飾
rosalind 羅莎琳
rosarian 栽培者
rose 玫瑰
rose 薔薇
rose 羅絲
rosebay 夾竹桃
rosebud 玫瑰花蕾
rosebush 薔薇
rosemary 露絲瑪莉
roseola 薔薇疹
rosery 薔薇園
roses 玫瑰
rosette 座葉
rosette 電線匣
rosewood 花梨木
rosily 薔薇色地
rosiness 薔薇色
rostellum 額嘴
rostra 演壇
rostrum 演壇
rosy 透紅的
rot 腐壞
rota 值班名冊
rotate 轉動
rotating 轉動
rotation 迴轉
rotation 輪轉
rotator 迴轉裝置
rotenone 魚藤酮
rothole 脆弱地點
rotograph 複印相片
rotor 迴轉軸
rotter 無賴漢
rotting 腐朽
rotunda 圓形大廳
rouble 蘇聯盧布
roue 放蕩者
rough 大約
rough 粗的
rough 粗陋
rough 粗糙
roughage 粗食品
roughcast 粗型
roughen 弄粗
roughly 約略地
roughneck 暴徒
roulade 急奏
rouleau 卷軸
round 周圍
round 圓
round 圓的
rounder 繞行者
roundhead 圓顱黨
roundly 熱心地
roundness 圓
roundsman 巡佐
roundtop 桅樓
roundtrip 來回
roundup 驅集一起
roup 拍賣
rouse 弄醒
rouseabout 雜工
rousseau 盧梭
rout 敗挫
route 航線
route 路線
routes 航線
routine 日常工作
routine 常規
routineer 機械化者
routinist 千編一律
roution 例行公事
rove 盤桓
rove 轉來轉去
row 一排
row 行
row 排列
rowan 山梨
rowboat 小舟
rowel 馬刺
rower 槳手
roxanne 洛克仙妮
roy 羅伊
royal 皇家
royal 國王的
royalist 保皇黨員
rthk 香港電台
ru 釕
rub 揉
rub 橡皮
rub 磨擦
rubaboo 乾肉餅湯
rubber 避孕套
rubberize 橡膠處理
rubbers 雨鞋
rubbing 摩擦
rubbish 廢物
rubbish 廢柴
rubble 碎石堆
rubdown 按摩
rube 鄉下人
rubeola 麻疹
rubescent 變紅
rubric 紅字
rubricate 紅字印刷
rubstone 砥石
ruching 褶飾
rucksack 背囊
ruckus 喧鬧
ruction 喧鬧
rudbeckia 黃雛菊屬
rudder 舵
rudderpost 舵軸
ruddily 紅地
ruddock 知更鳥
rude 好吋
rude 粗暴
rude 無禮
rude 無禮的
rude 無禮貌
rudeness 無禮
rudolf 魯道夫
rue 悲嘆
rug 地氈
rug 粗絨
rug 毯子
rugosity 縐紋
ruin 沒落
ruin 毀壞
ruin 滅亡
ruins 廢墟
rule 尺
rule 支配
rule 規則
ruling 裁定
rum 甜酒
rumba 倫巴
rumble 噪音
rumination 反芻作用
rumly 奇妙地
rummage 到處翻尋
rummer 大酒杯
rummily 古怪地
rumour 謠傳
rumple 弄縐
rumpus 喧囂
run 奔
run 跑
run 運行
runagate 游民
rundle 橫檔
rungs 條
runlet 小河
runner 跑步者
running 跑
running 跑的
runoff 決賽
runt 小東西
runtime 執行時間
runway 著草
rupert 魯伯特
rupiah 印尼幣
rupture 破裂
rural 鄉下的
ruralism 鄉下風味
ruralize 田園化
ruse 謀略
rush 匆忙
rush 猛進
rush 速行
rush 趕快
rush 趕緊
rushmore 拉石茂山
russia 俄國
russia 俄語
russia 蘇聯
rust 鐵秀
rust 鐵鏽
rustic 僻陋
rustically 鄉土氣地
rusticate 定居鄉下
rusticity 鄉村式
rustily 銹蝕地
rustiness 生銹
rustle 沙沙作響
rustler 活躍份子
rustler 積極份子
rut 成規
rutabaga 黃色蔓菁
ruth 憐憫
ruth 露絲
ruthenium 釕Ru
ruthless 殘忍
ruthless 無情的
rutile 金紅石
ryan 里安
ryegrass 毒麥
ryot 農夫
