m Ｍ
musket 步槍
musketry 步槍
muskiness 麝香
muskrat 麝香薔薇
muskwood 麝香樹
muslin 蟬紗
musquash 麝香鼠
mussel 貽貝
mussily 雜亂地
mussolini 墨索里尼
must 一定要
must 梗要
must 應該
mustache 鬚
mustachio 鬚
mustard 芥末
mustiness 霉臭
mutant 突變異種
mutant 突變種
mutate 變化
mutch 帽子
mute 啞的
mutely 無言地
muteness 啞無言
mutilation 切斷
mutilator 切斷者
mutineer 暴徒
mutism 緘默
mutt 傻子
mutter 低語
mutter 喃喃自語
muttering 呢喃
muttonchop 羊排
muttonhead 笨人
muttony 羊肉
mutual 共同
mutual 相互
mutualism 互利共生
mutuality 相互關係
mutually 互相地
muzhik 農民
muzjik 農民
muzz 使發呆
muzzle 鼻口
muzzle 鼻口部分
my 我既
myalgia 肌痛
myall 洋槐
mycelial 菌絲
mycelium 菌絲
mycetozoan 黏菌
mycologist 菌學者
mycology 菌學
mycoplasma 黴漿菌
mycosis 黴菌病
myoglobin 生化
myope 近視的人
myopic 近視
myosis 縮瞳症
myosotis 毋忘我草
myra 瑪伊拉
myriameter 一萬公尺
myriapod 多足類
myrna 蜜爾娜
myrobalan 油柑子
myron 麥倫
myrtle 桃金孃樹
myself 我自己
mystagogy 祕法傳授
mysterious 神祕的
mystery 神祕
mysticism 神祕
mystify 神祕化
myth 神話
mythos 神話
myxedema 黏液水腫
myxoedema 黏液水腫
